Zila_Name,Upazila_Name,Per_Rural_Pop,Pov_headcount_ratio,Per_Extreme_poverty_headcount_ratio,Per_Primary_employment_Agriculture,Per_Primary_employment_Industry,Per_Primary_employment_Service,Per_Lit_pop_18_years_and_older,Per_of_underweight _child,Per_of_stunted_child
BAGERHAT,MORRELGANJ,90.8,46.5,27.0,63.5,5.5,31.1,60.0,31.8,37.9
MEHERPUR,MUJIB NAGAR,90.9,13.6,4.5,80.2,1.1,18.6,45.1,32.6,38.2
NARAIL,NARAIL SADAR,81.4,17.3,6.1,63.9,5.9,30.3,61.2,29.8,36.5
KHULNA,PAIKGACHHA,93.2,42.4,23.3,65.7,4.6,29.8,51.2,32.3,39.9
KHULNA,PHULTALA,63.6,33.7,17.0,30.3,24.6,45.1,59.4,28.0,39.0
BAGERHAT,RAMPAL,99.0,41.1,22.5,64.8,6.7,28.5,57.0,31.3,38.9
KHULNA,RUPSA,100.0,36.9,20.2,25.0,20.5,54.5,57.9,28.7,42.7
BAGERHAT,SARANKHOLA,77.4,48.0,28.2,41.1,1.8,57.2,58.9,32.4,40.1
SATKHIRA,SATKHIRA SADAR,75.7,43.1,26.0,51.8,6.9,41.3,54.2,30.9,39.8
JHENAIDAH,SHAILKUPA,90.2,28.2,12.1,68.5,8.3,23.2,42.7,34.6,41.0
MAGURA,SHALIKHA,95.9,44.2,24.7,75.5,4.5,20.0,46.6,33.5,37.4
JESSORE,SHARSHA,87.6,40.8,19.4,65.3,8.0,26.7,48.7,32.4,39.8
SATKHIRA,SHYAMNAGAR,94.5,50.2,33.8,74.8,2.1,23.2,45.3,35.5,39.8
KHULNA,SONADANGA,0.0,19.3,7.3,2.9,8.1,89.0,75.7,21.5,32.3
MAGURA,SREEPUR,96.8,45.0,25.5,66.6,4.8,28.6,48.6,33.2,39.2
SATKHIRA,TALA,96.8,45.2,28.9,74.8,5.4,19.8,47.8,32.5,39.9
KHULNA,TEROKHADA,89.7,49.6,30.0,66.3,11.0,22.7,46.0,34.7,39.9
BOGRA,ADAMDIGHI,79.7,13.1,5.1,51.6,16.2,32.2,53.6,28.9,37.9
JOYPURHAT,AKKELPUR,82.5,26.9,13.4,70.7,5.5,23.8,52.7,30.6,37.3
PABNA,ATGHARIA,90.9,31.2,16.0,70.7,8.5,20.8,39.6,35.3,40.4
NAOGAON,ATRAI,93.0,13.5,5.0,74.1,1.8,24.1,40.9,35.0,40.2
NAOGAON,BADALGACHHI,97.0,15.0,5.7,72.2,3.6,24.3,46.8,32.9,41.0
NATORE,BAGATIPARA,92.5,31.6,18.6,69.2,4.2,26.5,51.3,31.0,36.7
RAJSHAHI,BAGHA,76.1,33.6,18.3,70.7,5.3,24.1,46.0,34.0,40.3
RAJSHAHI,BAGHMARA,88.9,29.4,14.9,81.6,4.7,13.7,42.5,33.4,37.7
NATORE,BARAIGRAM,85.9,36.1,22.1,76.2,4.5,19.2,45.1,33.4,37.7
SIRAJGANJ,BELKUCHI,78.1,42.5,26.4,23.5,54.9,21.6,45.4,35.6,49.7
PABNA,BERA,81.0,39.4,22.9,44.3,14.3,41.5,37.5,37.8,47.7
PABNA,BHANGURA,83.7,33.5,18.3,70.5,5.1,24.3,40.1,35.5,39.9
CHAPAI NABABGANJ,BHOLAHAT,86.8,20.8,8.9,74.3,4.9,20.9,44.2,34.2,40.2
RAJSHAHI,BOALIA,0.0,24.1,10.5,4.8,16.1,79.1,77.9,21.7,32.0
BOGRA,BOGRA SADAR,37.4,17.6,9.1,17.9,18.5,63.7,64.9,26.3,36.6
CHAPAI NABABGANJ,CHAPAI NABABGANJ SADAR,66.3,25.4,12.9,46.5,9.5,43.9,45.1,35.6,43.4
RAJSHAHI,CHARGHAT,82.4,31.4,16.8,60.8,5.8,33.4,43.2,33.2,41.1
PABNA,CHATMOHAR,94.9,31.4,16.1,75.4,5.9,18.7,41.4,35.2,39.3
SIRAJGANJ,CHAUHALI,86.4,45.5,28.1,64.0,18.0,18.0,32.0,40.2,46.3
NAOGAON,DHAMOIRHAT,90.8,17.9,7.7,84.8,2.3,12.9,46.8,33.4,39.8
BOGRA,DHUNAT,92.3,19.8,7.3,76.4,8.2,15.5,30.3,38.7,42.3
BOGRA,DHUPCHANCHIA,87.3,13.2,5.1,65.2,13.4,21.4,49.8,30.5,36.6
RAJSHAHI,DURGAPUR,85.2,25.7,12.3,84.1,2.0,13.9,43.9,31.3,35.9
PABNA,FARIDPUR,88.8,31.5,16.6,75.1,5.6,19.4,38.4,34.9,39.4
BOGRA,GABTALI,93.4,15.6,5.7,70.6,9.9,19.4,41.7,34.1,39.7
RAJSHAHI,GODAGARI,82.1,44.1,27.3,74.5,5.6,19.9,45.2,34.5,42.2
CHAPAI NABABGANJ,GOMASTAPUR,78.5,26.1,12.2,68.4,6.6,25.0,38.4,36.0,43.8
NATORE,GURUDASPUR,85.3,37.0,22.8,74.8,4.8,20.4,37.9,35.3,39.6
PABNA,ISHWARDI,79.1,26.2,13.2,42.0,21.0,37.0,54.0,31.0,41.2
JOYPURHAT,JOYPURHAT SADAR,76.3,26.0,13.0,56.7,5.1,38.1,61.1,27.8,35.9
BOGRA,KAHALOO,93.7,11.7,4.0,68.8,9.4,21.8,49.8,29.9,36.3
JOYPURHAT,KALAI,88.8,25.6,12.1,81.4,2.7,16.0,47.4,31.5,37.0
SIRAJGANJ,KAMARKHANDA,93.0,32.5,17.6,45.1,25.0,29.9,41.0,34.9,43.9
SIRAJGANJ,KAZIPUR,94.0,36.2,20.2,66.9,14.9,18.3,31.1,38.6,42.9
JOYPURHAT,KHETLAL,89.3,26.1,11.7,78.8,1.9,19.3,48.7,30.6,37.2
NATORE,LALPUR,92.3,35.7,21.8,69.2,5.0,25.9,46.4,32.8,39.4
NAOGAON,MAHADEBPUR,94.7,15.6,6.1,78.3,5.0,16.6,48.0,31.8,38.8
NAOGAON,MANDA,96.8,14.7,5.4,83.5,3.5,12.9,41.8,34.2,40.4
RAJSHAHI,MATIHAR,0.0,33.3,15.2,8.7,10.6,80.8,62.4,27.1,36.5
RAJSHAHI,MOHANPUR,82.5,24.9,12.0,82.6,2.7,14.7,48.5,29.7,34.3
CHAPAI NABABGANJ,NACHOLE,88.2,24.2,11.4,82.8,5.0,12.3,43.0,34.2,40.6
BOGRA,NANDIGRAM,90.1,16.1,6.3,83.0,5.2,11.9,45.0,32.7,36.9
NAOGAON,NAOGAON SADAR,63.2,17.4,8.3,41.9,12.2,46.0,51.2,31.1,40.7
NATORE,NATORE SADAR,79.6,31.8,18.8,56.9,6.9,36.2,53.6,31.0,37.5
NAOGAON,NIAMATPUR,97.5,19.4,8.4,80.0,1.9,18.0,42.7,34.9,41.6
RAJSHAHI,PABA,72.9,33.4,17.1,63.0,9.7,27.3,46.6,32.1,39.8
PABNA,PABNA SADAR,76.1,27.8,14.3,39.1,18.2,42.7,49.7,32.6,42.0
JOYPURHAT,PANCHBIBI,90.4,28.3,13.6,73.6,4.3,22.1,51.2,31.5,37.5
NAOGAON,PATNITALA,90.6,18.6,8.1,78.7,2.8,18.5,51.5,32.7,40.2
NAOGAON,PORSHA,91.1,21.7,9.4,81.3,4.9,13.8,41.0,36.9,43.8
RAJSHAHI,PUTHIA,87.4,26.8,13.3,72.6,3.2,24.1,45.8,31.8,38.3
RAJSHAHI,RAJPARA,0.0,24.4,10.7,6.4,4.9,88.7,74.4,23.4,34.6
NAOGAON,RANINAGAR,96.5,13.3,4.9,78.6,4.1,17.4,45.8,33.1,38.8
SIRAJGANJ,ROYGANJ,94.2,39.4,22.8,67.7,12.5,19.8,34.5,37.9,43.9
PABNA,SANTHIA,89.8,33.1,17.5,67.3,11.8,20.8,39.7,35.2,41.3
NAOGAON,SAPAHAR,92.2,21.4,9.0,83.8,3.4,12.9,39.9,35.7,42.8
BOGRA,SARIAKANDI,92.8,21.6,8.7,77.7,6.7,15.6,32.0,38.4,41.7
RAJSHAHI,SHAH MAKHDUM,0.0,30.9,13.4,13.8,18.5,67.8,70.3,26.8,35.5
SIRAJGANJ,SHAHJADPUR,87.2,41.8,25.1,49.1,29.0,21.9,35.3,37.5,47.4
BOGRA,SHAJAHANPUR,80.6,12.5,5.0,49.5,9.5,41.0,54.6,28.6,36.9
BOGRA,SHERPUR,83.5,15.7,5.6,63.3,12.5,24.2,39.9,34.9,40.6
BOGRA,SHIBGANJ,94.2,16.9,6.3,76.0,6.2,17.8,40.2,34.0,40.4
CHAPAI NABABGANJ,SHIBGANJ,91.4,26.0,12.2,71.6,5.0,23.4,37.1,36.5,44.2
NATORE,SINGRA,90.7,37.8,23.4,82.5,3.1,14.4,40.3,35.6,39.5
SIRAJGANJ,SIRAJGANJ SADAR,69.7,36.7,21.6,32.5,24.3,43.1,46.9,34.5,45.1
BOGRA,SONATOLA,87.2,23.7,10.3,74.9,6.7,18.4,37.3,37.3,41.2
PABNA,SUJANAGAR,90.6,35.4,19.4,69.1,10.6,20.3,38.1,36.2,42.1
RAJSHAHI,TANORE,72.4,35.7,20.7,86.9,3.0,10.2,45.0,32.1,37.1
SIRAJGANJ,TARASH,96.0,35.8,20.0,82.6,3.8,13.6,34.2,37.2,39.7
SIRAJGANJ,ULLAH PARA,91.3,36.6,20.9,60.7,16.0,23.3,40.1,36.2,42.8
LALMONIRHAT,ADITMARI,91.0,36.0,17.3,79.9,4.5,15.6,40.0,36.7,40.1
PANCHAGARH,ATWARI,91.8,24.1,11.1,65.6,2.2,32.2,53.7,31.1,37.9
RANGPUR,BADARGANJ,91.2,48.3,30.6,79.2,5.1,15.7,38.8,36.5,42.4
THAKURGAON,BALIADANGI,91.9,26.5,11.3,83.7,2.9,13.4,38.6,36.5,43.6
KURIGRAM,BHURUNGAMARI,87.2,65.1,44.7,80.2,4.0,15.7,36.6,38.6,40.7
DINAJPUR,BIRAL,96.4,38.8,20.6,69.1,4.1,26.8,43.8,34.3,42.6
DINAJPUR,BIRAMPUR,71.6,35.9,19.0,65.2,3.3,31.5,50.7,33.4,39.7
DINAJPUR,BIRGANJ,93.8,43.1,24.8,72.5,3.7,23.8,43.7,34.3,41.1
DINAJPUR,BOCHAGANJ,82.4,38.4,21.0,69.0,7.6,23.4,49.1,33.5,39.9
PANCHAGARH,BODA,92.6,26.6,12.0,72.3,3.7,23.9,47.3,33.9,40.1
KURIGRAM,CHAR RAJIBPUR,79.7,68.8,48.7,78.1,2.9,19.0,32.5,41.1,42.1
KURIGRAM,CHILMARI,62.5,61.1,42.1,69.8,2.8,27.4,35.6,40.3,44.5
DINAJPUR,CHIRIRBANDAR,97.2,38.5,22.6,69.7,4.9,25.4,49.3,33.0,41.5
PANCHAGARH,DEBIGANJ,93.3,34.2,16.6,75.2,4.3,20.5,42.3,35.6,41.4
NILPHAMARI,DIMLA,92.8,35.2,17.4,82.1,3.7,14.2,37.3,38.1,43.2
DINAJPUR,DINAJPUR SADAR,61.4,28.2,16.5,35.1,8.8,56.1,64.0,28.4,39.2
NILPHAMARI,DOMAR,83.7,31.3,15.5,73.0,6.3,20.7,45.2,35.8,42.3
DINAJPUR,FULBARI,80.4,33.8,17.8,64.6,5.7,29.6,51.3,32.7,39.8
GAIBANDHA,FULCHHARI,96.3,58.1,39.8,79.0,3.2,17.8,27.2,41.1,44.5
GAIBANDHA,GAIBANDHA SADAR,78.9,44.8,28.3,55.0,5.7,39.3,44.2,36.4,44.1
RANGPUR,GANGACHARA,95.8,58.3,39.0,71.8,4.9,23.2,37.5,36.7,43.1
DINAJPUR,GHORAGHAT,80.7,41.8,24.3,71.7,4.5,23.8,43.1,35.1,41.3
GAIBANDHA,GOBINDAGANJ,92.3,45.4,29.0,71.7,6.0,22.3,38.7,36.2,42.8
DINAJPUR,HAKIMPUR,70.0,38.9,22.4,60.7,4.5,34.8,55.2,31.7,38.8
THAKURGAON,HARIPUR,95.3,29.7,13.1,86.7,1.7,11.6,37.6,37.3,41.8
LALMONIRHAT,HATIBANDHA,100.0,38.1,18.4,80.2,5.6,14.2,39.1,36.8,40.8
NILPHAMARI,JALDHAKA,86.2,43.5,24.9,79.6,4.5,15.8,33.2,39.3,44.1
DINAJPUR,KAHAROLE,95.3,44.3,25.6,73.4,5.1,21.5,47.5,33.4,41.1
LALMONIRHAT,KALIGANJ,91.9,35.3,16.6,78.7,5.3,16.0,42.6,36.5,39.6
RANGPUR,KAUNIA,72.9,45.0,33.2,59.1,15.1,25.8,39.6,37.2,43.8
DINAJPUR,KHANSAMA,94.9,46.5,25.8,74.1,5.1,20.8,43.0,35.0,41.8
NILPHAMARI,KISHOREGANJ,96.8,30.9,14.7,80.0,3.5,16.5,33.0,38.0,44.8
KURIGRAM,KURIGRAM SADAR,74.5,58.0,40.5,52.5,5.5,42.0,42.0,38.1,44.9
LALMONIRHAT,LALMONIRHAT SADAR,81.7,31.3,15.1,61.4,5.1,33.5,44.4,36.2,43.0
RANGPUR,MITHA PUKUR,98.6,45.4,29.0,74.0,4.6,21.4,42.1,35.0,42.6
KURIGRAM,NAGESHWARI,83.9,65.0,45.4,78.6,3.4,18.0,35.0,40.2,42.6
DINAJPUR,NAWABGANJ,96.8,37.3,20.5,76.3,6.4,17.3,40.2,35.8,41.5
NILPHAMARI,NILPHAMARI SADAR,90.1,36.4,21.0,66.6,6.0,27.5,40.5,36.2,43.9
GAIBANDHA,PALASHBARI,90.7,44.8,27.1,66.9,6.7,26.5,43.8,35.5,42.3
PANCHAGARH,PANCHAGARH SADAR,83.4,24.2,11.2,54.2,8.6,37.2,48.4,33.3,40.6
DINAJPUR,PARBATIPUR,89.1,39.7,22.1,65.2,5.1,29.8,50.4,32.7,41.2
LALMONIRHAT,PATGRAM,86.2,33.3,17.0,69.8,3.2,27.0,42.5,36.6,44.3
KURIGRAM,PHULBARI,92.0,68.5,48.8,74.9,3.8,21.2,40.4,37.2,40.7
RANGPUR,PIRGACHHA,95.8,49.7,30.5,74.3,5.7,19.9,39.9,36.0,41.1
RANGPUR,PIRGANJ,96.1,46.9,28.3,75.9,3.6,20.5,39.8,35.4,41.3
THAKURGAON,PIRGANJ,88.8,23.3,9.6,69.8,2.9,27.3,43.7,34.8,42.5
KURIGRAM,RAJARHAT,94.7,67.7,48.6,63.4,4.0,32.6,45.1,34.5,41.2
RANGPUR,RANGPUR SADAR,59.2,37.1,25.8,32.3,11.3,56.4,59.4,30.5,41.0
THAKURGAON,RANISANKAIL,91.7,25.8,11.1,75.2,3.8,21.0,41.6,35.3,42.5
KURIGRAM,RAUMARI,86.8,57.0,36.0,80.7,3.9,15.4,29.4,40.9,42.6
GAIBANDHA,SADULLAPUR,95.7,51.0,31.1,76.4,5.2,18.4,39.6,36.6,41.7
GAIBANDHA,SAGHATA,94.3,52.8,34.1,71.5,4.0,24.5,35.7,38.1,43.0
NILPHAMARI,SAIDPUR,51.6,27.7,16.2,31.7,16.7,51.6,50.8,31.8,40.9
GAIBANDHA,SUNDARGANJ,95.4,47.6,29.4,79.2,4.2,16.6,33.8,38.6,43.0
RANGPUR,TARAGANJ,94.2,52.4,32.4,79.6,3.9,16.5,38.9,36.1,42.0
PANCHAGARH,TENTULIA,95.5,21.5,8.8,57.8,22.9,19.4,43.1,34.5,43.0
THAKURGAON,THAKURGAON SADAR,84.2,28.6,17.7,59.1,4.6,36.3,49.4,32.5,42.5
KURIGRAM,ULIPUR,88.5,65.3,46.2,75.3,4.9,19.8,40.0,37.6,41.2
HABIGANJ,AJMIRIGANJ,87.1,32.6,26.4,69.0,3.8,27.2,34.8,40.9,45.8
HABIGANJ,BAHUBAL,97.9,24.1,19.3,73.6,9.0,17.4,39.1,39.4,44.0
SYLHET,BALAGANJ,97.4,19.7,15.8,53.3,6.5,40.2,49.3,35.7,43.1
HABIGANJ,BANIACHONG,91.3,27.6,22.2,77.4,4.1,18.5,33.2,39.9,44.3
MAULVIBAZAR,BARLEKHA,89.6,25.7,20.8,42.1,13.7,44.2,51.3,37.3,45.3
SYLHET,BEANI BAZAR,83.7,15.9,11.8,37.9,16.2,45.9,58.1,33.8,41.4
SUNAMGANJ,BISHWAMBARPUR,98.1,30.4,24.7,75.4,2.5,22.0,31.0,41.8,47.2
SYLHET,BISHWANATH,91.2,12.5,9.7,50.2,8.5,41.3,46.2,37.0,43.5
SUNAMGANJ,CHHATAK,87.5,23.6,18.6,59.8,8.7,31.5,37.5,39.7,45.7
HABIGANJ,CHUNARUGHAT,93.1,27.5,22.5,71.4,5.0,23.6,38.5,39.2,43.4
SYLHET,COMPANIGANJ,89.8,34.5,28.7,51.5,21.7,26.8,25.8,42.8,49.9
SUNAMGANJ,DAKSHIN SUNAMGANJ,97.2,24.4,19.5,79.0,4.8,16.2,31.3,40.8,45.5
SYLHET,DAKSHIN SURMA,93.4,10.3,7.8,29.2,19.8,50.9,56.1,34.7,43.2
SUNAMGANJ,DERAI,85.6,26.2,20.7,76.1,3.5,20.4,36.7,40.1,44.9
SUNAMGANJ,DHARAMPASHA,95.0,25.5,20.2,83.2,1.6,15.2,27.2,42.5,46.7
SUNAMGANJ,DOWARABAZAR,93.7,29.9,24.3,81.5,3.1,15.4,27.8,42.3,45.1
SYLHET,FENCHUGANJ,78.5,16.9,13.4,38.3,14.4,47.3,52.2,37.4,43.0
SYLHET,GOLAPGANJ,88.3,14.9,11.1,43.1,17.4,39.5,57.0,34.8,42.1
SYLHET,GOWAINGHAT,98.1,52.6,46.5,68.1,18.2,13.8,28.2,42.6,49.2
HABIGANJ,HABIGANJ SADAR,67.4,16.9,12.2,44.1,9.2,46.7,49.6,36.0,41.4
SUNAMGANJ,JAGANNATHPUR,84.0,21.0,15.8,70.4,4.9,24.8,39.8,39.8,45.1
SYLHET,JAINTIAPUR,95.1,34.7,28.9,54.0,18.1,27.8,35.6,39.8,47.0
SUNAMGANJ,JAMALGANJ,94.2,24.6,19.4,80.9,5.2,13.9,29.1,41.1,46.2
MAULVIBAZAR,JURI,91.5,36.3,31.3,51.5,14.6,33.9,49.2,36.9,45.3
MAULVIBAZAR,KAMALGANJ,88.6,26.7,22.0,45.4,14.8,39.7,45.5,38.3,46.1
SYLHET,KANAIGHAT,90.0,45.8,39.7,63.1,12.5,24.3,39.9,39.7,44.8
MAULVIBAZAR,KULAURA,91.9,28.1,23.1,64.3,11.7,24.0,49.9,35.6,41.3
HABIGANJ,LAKHAI,88.2,25.2,20.0,69.1,4.7,26.2,31.9,42.9,46.6
HABIGANJ,MADHABPUR,92.0,25.9,20.7,58.2,11.3,30.5,38.4,39.9,45.9
MAULVIBAZAR,MAULVIBAZAR SADAR,83.9,16.7,12.7,39.2,8.9,51.9,54.4,35.4,42.7
HABIGANJ,NABIGANJ,91.0,26.8,21.5,61.7,9.2,29.1,40.6,39.1,44.5
MAULVIBAZAR,RAJNAGAR,94.1,22.3,18.0,56.9,14.4,28.7,46.7,37.3,43.1
MAULVIBAZAR,SREEMANGAL,87.7,29.3,24.7,48.9,10.0,41.1,45.3,36.8,44.3
SUNAMGANJ,SULLA,96.2,28.3,22.9,91.3,2.9,5.8,31.4,39.3,45.5
SUNAMGANJ,SUNAMGANJ SADAR,74.8,25.1,19.3,53.5,9.1,37.5,38.8,40.4,46.0
SYLHET,SYLHET SADAR,36.7,14.3,9.7,10.5,19.8,69.7,62.4,32.8,40.1
SUNAMGANJ,TAHIRPUR,95.9,31.2,25.3,75.5,3.4,21.1,28.0,41.7,48.8
SYLHET,ZAKIGANJ,91.4,39.0,32.9,49.3,6.8,43.9,46.5,37.5,46.1
